'unter den linden'	'ウンテル・デン・リンデン'
'crisis'	'クライシス'
'cromwell'	'クロムウェル,クロムウエル,コロンウェル'
'croup'	'クルップ'
'crow'	'クロウ'
'crusoe'	'クルーソー'
'cub'	'カブ'
'cue'	'キュー'
'cuff'	'カフス,カフ'
'cult'	'カルト'
'cupid'	'キューピッド'
'curacao'	'キユラソオ'
'curl'	'カール'
'curry'	'カレー'
'curve'	'カーブ'
'cushion'	'クッション'
'cut'	'カツト'
'cutlet'	'カツ,カツレツ'
'cutter'	'カツター'
'cyan'	'シヤン'
'cynical'	'シニカル'
'cyprus'	'キプロス'
'da/de'	'ダ'
'dahlia'	'ダリヤ,ダーリア,ダアリア'
'daimon'	'ダイモン'
'dam'	'ダム'
'damask'	'ダマスク'
'dan'	'ダン'
'dance'	'ダンス'
'dancing'	'ダンシング'
'dane'	'デーン'
'danube'	'ダニューブ'
'dark'	'ダーク'
'darlington'	'ダーリントン'
'darth'	'ダース'
'darwin'	'ダーウィン,ダーヰン,ダルウヰン,ダルヰン'
'darwinism'	'ダルウヰニズム'
'deaf'	'デフ'
'deca'	'デカ'
'decadant'	'デカダン,デカタン'
'decadence'	'デカダンス'
'decae'	'ドカ'
'dee'	'ディー'
'delhi'	'デリー'
'delicacy'	'デリカシー'
'demagog'	'デマゴーグ'
'demi'	'ドミ'
'demo'	'デモ'
'democracy'	'デモクラシー'
'democratic'	'デモクラチツク,デモクラシック'
'denomination'	'デノミネーション'
'descartes'	'デカルト'
'desert'	'デザート'
'desk'	'デスク'
'dessin'	'デッサン'
'deutschen'	'ドイ'
'diagram'	'ダイヤ'
'diamond'	'ダイヤモンド,ダイアモンド,ギヤマン'
'diene'	'ジエン'
'dilemma'	'ディレンマ,ジレンマ'
'dilettante'	'ディレッタント,ジレッタント'
'dimension'	'ダイメンシヨン'
'dionysius'	'ディオニシウス'
'diphtheria'	'ジフテリア'
'distoma'	'ヂストマ'
'dobrolyubov'	'ドブロリューボフ'
'dock'	'ドック'
'doctor'	'ドクトル'
'doeff'	'ヅーフ'
'doek'	'ズック,ズツク'
'dominica'	'ドミニカ'
'donna'	'ドンナ'
'door'	'ドア'
'dostoevskii'	'ドストイェフスキー,ドストエフスキー'
'double'	'ダブル'
'dough'	'ドウ'
'doula'	'ドーラ'
'dow'	'ダウ'
'doyle'	'ドイル'
'dozen'	'ダース'
'draco'	'ドラコ'
'draft'	'ドラ'
'dram'	'ダラム'
'drama'	'ドラマ'
'dramatical'	'ドラマチカル'
'dramatist'	'ドラマチスト'
'dreadnought'	'ドレッドノート'
'dreamer'	'ドリーマー'
'dresden'	'ドレスデン'
'dressing'	'ドレッシング'
'droschke'	'ドロシュケ'
'drum'	'ドラム'
'duke'	'デューク'
'dull'	'ダル'
'dumdum'	'ダムダム'
'durer'	'ドュウレル'
'durian'	'ドリアン'
'dyck'	'ダイク'
'dynamite'	'ダイナマイト'
'dynamo'	'ダイナモ'
'ear'	'イヤ'
'earl'	'アアル'
'east'	'イースト'
'easter'	'イースター'
'easy'	'イージー'
'easygoing'	'イージーゴーイング'
'ebonite'	'エボナイト'
'eccentric'	'エクセントリック'
'economy'	'エコノミー'
'eden'	'エデン,ヱデン'
'edinburgh'	'エディンバラ,エジンバラ'
'edison'	'エジソン'
'edmond'	'エドモンド'
'edward'	'エドワード,エドワルド'
'egalite'	'エガリテ'
'egg'	'エッグス'
'egoist'	'エゴイスト'
'egoistic'	'エゴイスチック'
'el'	'エル'
'elbe'	'エルベ'
'elea'	'エレア'
'electron'	'エレクトロン'
'element'	'エレメント'
'eleonora'	'エレオノラ'
'elevator'	'エレヴェーター'
'elizabeth'	'エリザベス'
'ellis'	'エリス'
'elm'	'エルム'
'elocution'	'エロキューション'
'emerald'	'エメラルド'
'encyclopaedia'	'エンサイクロペヂア'
'energy'	'エナージー,エネルギー'
'engage'	'エンゲージ'
'engine'	'エンジン'
'ennui'	'アンニュイ'
'enya'	'エンヤ'
'epaulette'	'エポレット'
'epicurean'	'エピキュリアン'
'epiktetos'	'エピクテタス'
'epoch'	'エポック'
'erotic'	'エロチック'
'escape'	'エスケープ'
'eskimo'	'エスキモー,エスキモ'
'esperanto'	'エスペラント'
'esquisse'	'エスキス'
'etching'	'エッチング'
'ether'	'エーテル'
'etna'	'エトナ'
'eucalyptus'	'ユーカリ'
'euripides'	'オイリピデス'
'euston'	'ユーストン'
'exlibris'	'エツキスリプリス'
'extract'	'エキス'
'eze'	'エズ'
'fact'	'ファクト'
'family'	'ファミリー'
'farrow'	'ファロー'
'faust'	'ファウスト,フアウスト'
'feather'	'フェザー'
'fechner'	'フェヒナー'
'fell'	'フェル'
'felt'	'フエルト'
'feminine'	'フェミニン'
'fetch'	'フェッチ'
'fichte'	'フィヒテ,フィフテ'
'fielding'	'フィールディング'
'file'	'ファイル'
'filled'	'フィルド'
'film'	'フィルム'
'fin'	'フィン'
'fin de siecle'	'フアンドシエクル'
'finn'	'フィン'
'firenze'	'フィレンチェ'
'fisk'	'フィスク'
'fit'	'フィッツ'
'flail'	'フレール'
'flan'	'フラン'
'flandre'	'フランドル'
'flannel'	'フランネル,ネル'
'flavell'	'フレーベル'
'flora'	'フロラ'
'florence'	'フロレンス'
'flow'	'フロ'
'fluke'	'フロック'
'flute'	'フルウト'
'fly'	'フライ'
'foil'	'ホイル'
'folio'	'フォリオ'
'folklore'	'フォクロア'
'foot'	'フット'
'football'	'フートボール'
'force'	'フォース'
'formalin'	'フォルマリン'
'formula'	'フォーミュラー'
'foster'	'フオスター,フォスター'
'franc'	'フラン'
'francisco'	'フランシスコ'
'frank'	'フランク'
'franken'	'フランケン'
'frankfurt am main'	'フランクフルト'
'franklin'	'フランクリン'
'franz'	'フランツ'
